radioId	genreId
411128	19
411128	33
411128	41
411128	43
411128	84
411128	85
411140	1
411140	41
411140	85
411145	41
411145	85
411154	41
411154	85
411155	1
411155	31
411155	41
411155	85
411165	28
411165	29
411165	41
411165	56
411165	85
411165	93
411165	94
411169	1
411169	41
411169	85
411171	3
411171	41
411171	85
411172	3
411172	33
411172	41
411172	85
411184	3
411184	41
411184	84
411184	85
411184	91
411188	41
411188	85
411197	41
411197	85
411209	6
411209	23
411209	41
411209	49
411209	85
411210	41
411210	85
411212	1
411212	31
411212	41
411212	84
411212	85
411212	91
411223	41
411223	85
411237	41
411237	85
411254	31
411254	84
411254	85
411254	91
411260	1
411260	31
411260	84
411260	85
411260	91
411261	7
411261	8
411261	10
411261	84
411261	85
411261	91
411272	3
411272	41
411272	85
411278	3
411278	31
411278	85
411305	3
411305	65
411305	85
411321	3
411321	31
411321	85
411367	3
411367	41
411367	85
411382	3
411382	85
411408	2
411408	31
411408	41
411408	44
411408	85
411409	31
411409	85
411450	31
411450	85
411465	29
411465	85
411469	35
411469	37
411469	48
411469	67
411479	19
411479	35
411479	67
411479	71
411479	95
411480	35
411480	67
411489	28
411489	35
411489	67
411491	13
411491	28
411491	33
411491	35
411491	43
411491	48
411491	67
411498	13
411498	28
411498	33
411498	35
411498	43
411498	50
411498	67
411498	84
411504	28
411504	35
411504	50
411504	67
411524	28
411524	35
411524	67
411526	28
411526	35
411526	67
411538	28
411538	35
411538	67
411578	28
411578	35
411578	53
411578	56
411578	67
411607	28
411607	35
411607	67
411609	28
411609	35
411609	67
411612	2
411612	16
411612	19
411612	33
411612	35
411612	45
411616	33
411616	35
411616	45
411616	112
411623	33
411623	35
411627	33
411627	35
411631	33
411631	35
411634	33
411634	35
411638	33
411638	35
411638	45
411638	74
411638	102
411646	33
411646	35
411648	2
411648	33
411648	35
411649	2
411649	33
411649	35
411650	33
411650	35
411656	33
411656	35
411659	33
411659	35
411664	32
411664	33
411664	35
411666	2
411666	33
411666	35
411673	33
411673	35
411677	33
411677	35
411677	46
411677	54
411677	57
411687	33
411687	35
411696	33
411696	35
411697	33
411697	35
411699	33
411699	35
411700	33
411700	35
411702	2
411702	33
411702	35
411705	33
411705	35
411705	39
411705	45
411705	112
411706	33
411706	35
411724	33
411724	35
411724	45
411724	54
411724	57
411725	2
411725	33
411725	35
411767	2
411767	16
411767	19
411767	35
411767	45
411773	2
411773	16
411773	19
411773	35
411773	45
411787	2
411787	7
411787	8
411787	10
411787	16
411787	19
411787	35
411787	45
411789	2
411789	16
411789	19
411789	35
411789	45
411794	2
411794	35
411794	45
411808	2
411808	16
411808	19
411808	35
411808	45
411811	2
411811	16
411811	19
411811	35
411811	45
411824	2
411824	16
411824	19
411824	35
411824	45
411825	2
411825	16
411825	19
411825	35
411825	45
411868	2
411868	16
411868	19
411868	35
411868	45
411880	2
411880	16
411880	19
411880	24
411880	35
411880	45
411883	2
411883	16
411883	19
411883	35
411883	45
411889	2
411889	16
411889	19
411889	35
411889	45
411902	45
411902	46
411902	57
411902	82
411902	112
411907	46
411907	57
411913	46
411913	57
411924	46
411924	57
411936	46
411936	57
411943	46
411943	57
411964	46
411964	57
411964	67
411965	46
411965	57
411985	46
411985	57
411992	46
411992	57
411995	46
411995	57
412001	13
412001	33
412001	43
412001	46
412001	54
412001	57
412006	46
412006	54
412006	57
412013	46
412013	57
412018	46
412018	57
412019	46
412019	57
412020	46
412020	57
412031	46
412031	57
412045	46
412045	57
412058	46
412058	57
412077	5
412077	6
412077	46
412077	57
412077	84
412078	6
412078	19
412078	33
412078	46
412078	50
412078	57
412078	84
412079	19
412079	46
412079	57
412085	6
412085	46
412085	57
412085	84
412086	46
412086	50
412086	57
412088	5
412088	46
412088	57
412093	54
412093	57
412115	54
412115	57
412119	54
412119	57
412211	54
412211	57
412214	46
412214	54
412214	57
412245	54
412245	57
412249	54
412249	57
412255	54
412255	57
412261	54
412261	57
412287	54
412287	57
412289	54
412289	57
412292	54
412292	57
412293	54
412293	57
412350	14
412350	45
412352	14
412352	45
412360	14
412360	45
412368	45
412368	64
412371	1
412371	2
412371	35
412371	45
412371	64
412371	85
412374	45
412374	64
412379	22
412379	24
412379	45
412383	22
412383	45
412385	22
412385	45
412385	64
412385	98
412388	22
412388	45
412394	11
412394	19
412394	45
412394	92
412397	24
412397	45
412400	35
412400	45
412400	74
412408	39
412408	45
412408	112
412409	45
412409	112
412411	45
412411	112
412413	45
412413	82
412413	112
412414	45
412414	46
412414	82
412414	112
412415	39
412415	45
412415	112
412420	45
412420	112
412420	114
412421	1
412421	21
412421	30
412421	44
412421	45
412421	53
412421	112
412423	45
412423	112
412426	39
412426	45
412426	112
412428	21
412428	44
412428	45
412428	112
412434	1
412434	41
412434	45
412434	112
412435	45
412435	112
412437	17
412437	45
412437	109
412437	112
412444	45
412444	112
412457	45
412457	95
412457	112
412460	2
412460	45
412460	82
412460	112
412463	39
412463	45
412463	112
412465	45
412465	98
412465	110
412465	112
412467	4
412467	45
412467	82
412467	112
412472	11
412472	45
412472	112
412473	45
412473	112
412478	44
412478	45
412478	112
412484	21
412484	35
412484	45
412484	112
412488	45
412488	112
412493	45
412493	112
412494	2
412494	33
412494	35
412494	39
412494	45
412494	112
412496	45
412496	112
412496	114
412498	45
412498	112
412499	2
412499	45
412499	112
412504	45
412504	112
412506	45
412506	112
412511	16
412511	45
412511	112
412512	4
412512	45
412512	112
412515	4
412515	45
412515	112
412524	45
412524	112
412527	33
412527	45
412527	98
412527	112
412528	21
412528	44
412528	45
412528	112
412529	45
412529	112
412541	39
412541	45
412541	48
412541	86
412541	112
412547	11
412547	39
412547	45
412547	112
412551	21
412551	44
412551	45
412551	112
412553	21
412553	45
412553	112
412555	45
412555	69
412555	109
412555	112
412560	2
412560	15
412560	21
412560	45
412560	112
412562	4
412562	45
412562	112
412566	45
412566	112
412575	1
412575	21
412575	44
412575	45
412575	112
412576	39
412576	45
412576	112
412579	2
412579	32
412579	45
412579	112
412579	114
412581	39
412581	45
412581	112
412586	21
412586	44
412586	45
412586	112
412587	8
412587	45
412587	112
412589	45
412589	112
412592	45
412592	64
412593	45
412593	64
412596	13
412596	33
412596	43
412596	45
412596	64
412606	45
412606	104
412612	45
412612	104
412621	45
412621	104
412638	45
412638	104
412643	2
412643	13
412643	33
412643	43
412643	45
412643	104
412647	45
412647	104
412659	22
412659	45
412659	49
412665	22
412665	45
412667	22
412667	45
412667	98
412669	22
412669	45
412681	45
412681	81
412687	45
412687	81
412694	2
412694	14
412694	36
412694	45
412697	14
412697	45
412718	2
412718	4
412718	14
412718	45
412784	2
412784	14
412784	36
412784	45
412790	14
412790	45
412790	113
412796	45
412796	98
412803	13
412803	22
412803	45
412803	111
412808	6
412808	13
412808	15
412808	28
412808	29
412808	45
412808	111
412822	22
412822	45
412824	22
412824	45
412832	22
412832	45
412835	22
412835	45
412837	22
412837	45
412844	16
412844	19
412844	45
412880	12
412880	13
412880	24
412880	45
412888	11
412888	12
412888	24
412888	40
412888	45
412892	12
412892	13
412892	24
412892	45
412898	19
412898	43
412898	71
412901	5
412901	19
412929	11
412929	19
412929	40
412929	106
412932	2
412932	11
412932	19
412932	32
412932	106
412951	11
412951	19
412951	32
412955	11
412955	19
412955	32
412955	40
412957	11
412957	19
412957	103
412968	11
412968	19
412970	11
412970	19
412974	11
412974	19
412974	40
412974	106
412976	11
412976	19
412980	11
412980	19
412985	11
412985	19
412985	40
412992	2
412992	9
412992	10
412992	11
412992	19
412999	11
412999	19
413024	11
413024	19
413030	11
413030	19
413032	11
413032	19
413048	11
413048	19
413069	11
413069	19
413079	11
413079	19
413079	103
413086	2
413086	11
413086	19
413086	32
413086	106
413104	19
413114	19
413123	19
413133	19
413133	71
413135	19
413135	62
413135	71
413144	11
413144	83
413144	92
413144	99
